Message Type,Sequence Number,Latitude,Longitude,Heading
LCV_BS6_OBD2_PERIODIC,39347,12.95142,79.96612,83.2
LCV_BS6_OBD2_PERIODIC,39348,12.95143,79.96614,63.5
IGNITION_ON,6,12.95143,79.96613,
LCV_BS6_OBD2_PERIODIC,39349,12.95142,79.96613,92.68
GPS_MESSAGE,5,12.95142,79.96612,331
LCV_BS6_OBD2_PERIODIC,39350,12.95143,79.96612,329.1
LCV_BS6_OBD2_PERIODIC,39351,12.95144,79.9661,236.41
LCV_BS6_OBD2_PERIODIC,39352,12.95144,79.9661,188.86
LCV_BS6_OBD2_PERIODIC,39353,12.95144,79.9661,55.84
LCV_BS6_OBD2_PERIODIC,39354,12.95144,79.96609,300.82
LCV_BS6_OBD2_PERIODIC,39355,12.95144,79.96609,330.02
LCV_BS6_OBD2_PERIODIC,39356,12.95143,79.96608,18.01
LCV_BS6_OBD2_PERIODIC,39357,12.95143,79.96608,56.02
LCV_BS6_OBD2_PERIODIC,39358,12.95142,79.96608,182.94
LCV_BS6_OBD2_PERIODIC,39359,12.95142,79.96605,274.17
GPS_MESSAGE,14,12.95143,79.96605,333
IGNITION_OFF,7,12.95143,79.96605,
LCV_BS6_OBD2_PERIODIC,39360,12.95143,79.96606,35.06
LCV_BS6_OBD2_PERIODIC,39361,12.95143,79.96606,275.1
LCV_BS6_OBD2_PERIODIC,39362,12.95143,79.9661,69.69
LCV_BS6_OBD2_PERIODIC,39363,12.95143,79.9661,58.97
LCV_BS6_OBD2_PERIODIC,39364,12.95142,79.96609,179.08
LCV_BS6_OBD2_PERIODIC,39365,12.95143,79.96609,283.42
LCV_BS6_OBD2_PERIODIC,39366,12.95143,79.96609,20.06
LCV_BS6_OBD2_PERIODIC,39367,12.95144,79.96609,33.06
LCV_BS6_OBD2_PERIODIC,39368,12.95144,79.96609,111.3
LCV_BS6_OBD2_PERIODIC,39369,12.95144,79.96608,246.41
GPS_MESSAGE,9,12.95144,79.96608,241
LCV_BS6_OBD2_PERIODIC,39370,12.95143,79.96609,94.31
LCV_BS6_OBD2_PERIODIC,39371,12.95142,79.96611,129.08
LCV_BS6_OBD2_PERIODIC,39372,12.95142,79.96612,116.69
LCV_BS6_OBD2_PERIODIC,39373,12.95143,79.96611,239.17
LCV_BS6_OBD2_PERIODIC,39374,12.95143,79.96609,317.45
LCV_BS6_OBD2_PERIODIC,39375,12.95143,79.96608,262.76
LCV_BS6_OBD2_PERIODIC,39376,12.95143,79.96606,283.57
LCV_BS6_OBD2_PERIODIC,39377,12.95142,79.96607,170.27
LCV_BS6_OBD2_PERIODIC,39378,12.95142,79.96606,231.16
GPS_MESSAGE,3,12.95142,79.96605,213
TRIP_END,3,12.95142,79.96605,
TRIP_START,0,12.95142,79.96605,
VERSION_UPDATE,0,12.95142,79.96605,
GPS_MESSAGE,1,12.95142,79.96605,213
IGNITION_ON,1,12.95142,79.96605,
LCV_BS6_OBD2_PERIODIC,39379,12.95143,79.96607,18.37
GPS_MESSAGE,2,12.95141,79.96609,216
LCV_BS6_OBD2_PERIODIC,39380,12.95139,79.96605,203.75
LCV_BS6_OBD2_PERIODIC,39381,12.95125,79.96603,207.08
LCV_BS6_OBD2_PERIODIC,39382,12.95117,79.96596,212.41
LCV_BS6_OBD2_PERIODIC,39383,12.95108,79.96578,268.13
LCV_BS6_OBD2_PERIODIC,39384,12.95128,79.96535,294.51
LCV_BS6_OBD2_PERIODIC,39385,12.95155,79.96479,291.29
LCV_BS6_OBD2_PERIODIC,39386,12.95184,79.96416,291.01
LCV_BS6_OBD2_PERIODIC,39387,12.95208,79.96361,290.8
LCV_VEHICLE_TOWED_START,2,12.95218,79.96337,
HEARTBEAT_MESSAGE,0,0,0,
LCV_BS6_OBD2_PERIODIC,39388,12.95237,79.96293,296.16
GPS_MESSAGE,8,12.95258,79.96249,295
LCV_BS6_OBD2_PERIODIC,39389,12.95268,79.96221,292.52
LCV_BS6_OBD2_PERIODIC,39390,12.95301,79.96137,293.3
LCV_BS6_OBD2_PERIODIC,39391,12.95337,79.96054,293.5
LCV_BS6_OBD2_PERIODIC,39392,12.9537,79.95981,290.95
LCV_BS6_OBD2_PERIODIC,39393,12.95396,79.95925,294.64
LCV_BS6_OBD2_PERIODIC,39394,12.9543,79.95878,308.72
LCV_BS6_OBD2_PERIODIC,39395,12.95477,79.95847,320.92
LCV_BS6_OBD2_PERIODIC,39396,12.9549,79.95843,333.25
LCV_VEHICLE_TOWED_END,4,12.9549,79.95843,
LCV_BS6_OBD2_PERIODIC,39397,12.95496,79.95846,21.35
LCV_BS6_OBD2_PERIODIC,39398,12.95506,79.95861,64.97
GPS_MESSAGE,4,12.95514,79.95878,65
LCV_BS6_OBD2_PERIODIC,39399,12.95518,79.95891,67.26
LCV_BS6_OBD2_PERIODIC,39400,12.95536,79.95932,67.19
LCV_BS6_OBD2_PERIODIC,39401,12.95548,79.95966,69.23
LCV_BS6_OBD2_PERIODIC,39402,12.95562,79.96005,68.62
LCV_VEHICLE_TOWED_START,5,12.95565,79.96013,
LCV_BS6_OBD2_PERIODIC,39403,12.95581,79.96059,69.08
LCV_BS6_OBD2_PERIODIC,39404,12.95606,79.96118,67.19
LCV_BS6_OBD2_PERIODIC,39405,12.95633,79.9619,68.12
LCV_BS6_OBD2_PERIODIC,39406,12.95654,79.9625,69.51
LCV_BS6_OBD2_PERIODIC,39407,12.95668,79.96289,68.02
LCV_BS6_OBD2_PERIODIC,39408,12.95679,79.96321,68.02
GPS_MESSAGE,0,12.95689,79.9635,69
LCV_BS6_OBD2_PERIODIC,39409,12.95694,79.96366,69.3
LCV_BS6_OBD2_PERIODIC,39410,12.95715,79.96416,67.41
